customer_id,city,customer_type,join_date
C0001,TP. Hồ Chí Minh,retail,2024-10-20
C0002,Hải Phòng,retail,2024-04-16
C0003,TP. Hồ Chí Minh,wholesale,2024-12-09
C0004,TP. Hồ Chí Minh,wholesale,2024-09-02
C0005,Hà Nội,retail,2023-12-14
C0006,Hà Nội,wholesale,2024-03-26
C0007,Nha Trang,retail,2024-11-28
C0008,Cần Thơ,student,2024-09-24
C0009,Đà Nẵng,wholesale,2023-12-01
C0010,Cần Thơ,retail,2024-05-20
C0011,Huế,retail,2024-12-22
C0012,TP. Hồ Chí Minh,retail,2024-06-09
C0013,Cần Thơ,student,2024-05-22
C0014,Biên Hòa,retail,2024-12-05
C0015,TP. Hồ Chí Minh,wholesale,2024-06-08
C0016,Huế,wholesale,2024-10-14
C0017,TP. Hồ Chí Minh,retail,2024-11-22
C0018,Cần Thơ,office,2024-03-23
C0019,TP. Hồ Chí Minh,retail,2024-03-26
C0020,Huế,retail,2024-07-17
C0021,Hải Phòng,wholesale,2024-05-27
C0022,TP. Hồ Chí Minh,wholesale,2024-11-21
C0023,Hải Phòng,retail,2024-02-23
C0024,Cần Thơ,office,2024-06-09
C0025,Hải Phòng,wholesale,2024-10-20
C0026,Hà Nội,retail,2024-12-25
C0027,Huế,retail,2023-12-14
C0028,Hải Phòng,office,2023-12-31
C0029,Huế,retail,2024-09-13
C0030,Nha Trang,student,2024-08-09
C0031,Biên Hòa,retail,2024-10-22
C0032,Hải Phòng,student,2024-02-07
C0033,Cần Thơ,student,2024-08-29
C0034,Nha Trang,retail,2024-07-04
C0035,Biên Hòa,retail,2024-02-06
C0036,TP. Hồ Chí Minh,retail,2023-12-22
C0037,Nha Trang,wholesale,2024-02-17
C0038,Nha Trang,wholesale,2024-06-12
C0039,Cần Thơ,office,2024-07-24
C0040,TP. Hồ Chí Minh,wholesale,2023-12-03
C0041,Cần Thơ,student,2024-08-28
C0042,TP. Hồ Chí Minh,retail,2024-05-20
C0043,Biên Hòa,retail,2024-02-16
C0044,Cần Thơ,office,2024-12-01
C0045,Đà Nẵng,retail,2024-12-22
C0046,Cần Thơ,student,2024-01-21
C0047,Hải Phòng,retail,2024-08-13
