transaction_id,timestamp,transaction_type,product_id,quantity,performed_by,status,note
TX000001,2024-12-31T08:00:00,import,P0001,180,warehouse,success,opening_stock
TX000002,2024-12-31T08:00:00,import,P0002,150,warehouse,success,opening_stock
TX000003,2024-12-31T08:00:00,import,P0003,170,warehouse,success,opening_stock
TX000004,2024-12-31T08:00:00,import,P0004,90,warehouse,success,opening_stock
TX000005,2024-12-31T08:00:00,import,P0005,55,warehouse,success,opening_stock
TX000006,2024-12-31T08:00:00,import,P0006,120,warehouse,success,opening_stock
TX000007,2024-12-31T08:00:00,import,P0007,100,warehouse,success,opening_stock
TX000008,2024-12-31T08:00:00,import,P0008,60,warehouse,success,opening_stock
TX000009,2024-12-31T08:00:00,import,P0009,140,warehouse,success,opening_stock
TX000010,2024-12-31T08:00:00,import,P0010,45,warehouse,success,opening_stock
TX000011,2024-12-31T08:00:00,import,P0011,350,warehouse,success,opening_stock
TX000012,2024-12-31T08:00:00,import,P0012,300,warehouse,success,opening_stock
TX000013,2024-12-31T08:00:00,import,P0013,240,warehouse,success,opening_stock
TX000014,2024-12-31T08:00:00,import,P0014,180,warehouse,success,opening_stock
TX000015,2024-12-31T08:00:00,import,P0015,80,warehouse,success,opening_stock
TX000016,2024-12-31T08:00:00,import,P0016,100,warehouse,success,opening_stock
TX000017,2024-12-31T08:00:00,import,P0017,220,warehouse,success,opening_stock
TX000018,2024-12-31T08:00:00,import,P0018,90,warehouse,success,opening_stock
TX000019,2024-12-31T08:00:00,import,P0019,110,warehouse,success,opening_stock
TX000020,2024-12-31T08:00:00,import,P0020,70,warehouse,success,opening_stock
TX000021,2024-12-31T08:00:00,import,P0021,160,warehouse,success,opening_stock
TX000022,2024-12-31T08:00:00,import,P0022,90,warehouse,success,opening_stock
TX000023,2024-12-31T08:00:00,import,P0023,65,warehouse,success,opening_stock
TX000024,2024-12-31T08:00:00,import,P0024,180,warehouse,success,opening_stock
TX000025,2024-12-31T08:00:00,import,P0025,120,warehouse,success,opening_stock
TX000026,2024-12-31T08:00:00,import,P0026,60,warehouse,success,opening_stock
TX000027,2024-12-31T08:00:00,import,P0027,55,warehouse,success,opening_stock
TX000028,2024-12-31T08:00:00,import,P0028,50,warehouse,success,opening_stock
TX000029,2024-12-31T08:00:00,import,P0029,85,warehouse,success,opening_stock
TX000030,2024-12-31T08:00:00,import,P0030,130,warehouse,success,opening_stock
TX000031,2024-12-31T08:00:00,import,P0031,300,warehouse,success,opening_stock
TX000032,2024-12-31T08:00:00,import,P0032,160,warehouse,success,opening_stock
