order_id,product_id,quantity,selling_price
ORD000001,P0045,15,1850000.0
ORD000001,P0029,24,23122.0
ORD000002,P0036,25,173962.0
ORD000003,P0022,5,18000.0
ORD000003,P0058,4,350000.0
ORD000004,P0012,28,5000.0
ORD000005,P0089,5,1725570.0
ORD000005,P0027,1,87382.0
ORD000006,P0009,9,18000.0
ORD000006,P0002,3,18000.0
ORD000006,P0011,3,5000.0
ORD000006,P0043,12,3190000.0
ORD000006,P0006,4,80805.0
ORD000007,P0055,23,259696.0
ORD000007,P0073,24,2499750.0
ORD000007,P0074,28,499750.0
ORD000007,P0046,29,890000.0
ORD000008,P0016,5,25000.0
ORD000009,P0078,22,1653300.0
ORD000009,P0079,9,1537657.0
ORD000009,P0022,7,18000.0
ORD000010,P0085,5,1720950.0
ORD000010,P0039,4,28000.0
ORD000010,P0042,1,40577.0
ORD000011,P0059,26,52352.0
ORD000012,P0085,4,1720950.0
ORD000012,P0017,1,8367.0
ORD000012,P0052,4,290000.0
ORD000013,P0023,22,42000.0
ORD000014,P0045,4,1745705.0
ORD000014,P0039,1,26734.0
ORD000014,P0005,2,73309.0
ORD000015,P0077,27,1773420.0
ORD000015,P0083,27,591690.0
ORD000016,P0014,3,11723.0
ORD000016,P0018,3,35936.0
ORD000017,P0052,5,290000.0
ORD000017,P0044,3,909208.0
ORD000018,P0037,1,95000.0
ORD000018,P0028,5,78000.0
ORD000018,P0042,1,39464.0
ORD000018,P0084,5,672250.0
ORD000019,P0072,15,1954437.0
ORD000020,P0044,1,920000.0
ORD000020,P0048,1,11560.0
ORD000020,P0055,1,280000.0
ORD000020,P0022,3,16275.0
ORD000021,P0014,7,12000.0
ORD000021,P0048,17,12000.0
ORD000022,P0057,4,211417.0
ORD000023,P0027,5,92000.0
ORD000023,P0088,3,533872.0
ORD000023,P0040,4,18000.0
ORD000023,P0028,5,75664.0
ORD000023,P0090,1,1117599.0
ORD000024,P0074,2,499750.0
ORD000025,P0005,2,77332.0
ORD000025,P0033,3,69000.0
