order_id,customer_id,order_date,payment_method,sales_channel,discount
ORD000001,C0146,2025-11-10T02:24:00,card,shopee,0.0
ORD000002,C0003,2025-09-22T19:05:00,transfer,shopee,0.0
ORD000003,C0005,2025-02-17T20:14:00,card,offline,0.0
ORD000004,C0065,2025-04-29T17:46:00,transfer,offline,0.0
ORD000005,C0186,2025-10-30T04:33:00,card,offline,0.0
ORD000006,C0179,2025-03-07T02:55:00,card,website,0.0
ORD000007,C0022,2025-05-08T17:35:00,e-wallet,offline,0.0
ORD000008,C0055,2025-05-17T02:05:00,e-wallet,online,5000.0
ORD000009,C0009,2025-04-29T20:45:00,transfer,offline,0.0
ORD000010,C0203,2025-06-08T01:47:00,e-wallet,website,0.0
ORD000011,C0155,2025-05-09T16:05:00,cash,website,0.0
ORD000012,C0196,2025-03-31T23:33:00,cash,online,0.0
ORD000013,C0103,2025-10-09T16:29:00,cash,shopee,50000.0
ORD000014,C0014,2025-04-08T00:23:00,transfer,website,0.0
ORD000015,C0004,2025-10-10T22:05:00,transfer,online,0.0
ORD000016,C0214,2025-09-05T23:15:00,transfer,website,0.0
ORD000017,C0211,2025-01-02T20:46:00,card,offline,50000.0
ORD000018,C0062,2025-10-20T22:14:00,transfer,online,0.0
ORD000019,C0037,2025-07-30T02:09:00,e-wallet,online,0.0
ORD000020,C0098,2025-06-13T02:45:00,card,website,0.0
ORD000021,C0204,2025-01-29T20:22:00,transfer,offline,0.0
ORD000022,C0062,2025-09-13T01:09:00,cash,website,0.0
ORD000023,C0041,2025-02-07T23:22:00,cash,offline,0.0
ORD000024,C0214,2025-05-28T04:51:00,transfer,online,0.0
ORD000025,C0161,2025-11-27T16:19:00,e-wallet,offline,0.0
ORD000026,C0087,2025-02-28T23:04:00,e-wallet,website,0.0
ORD000027,C0024,2025-07-22T16:16:00,e-wallet,shopee,0.0
ORD000028,C0159,2025-10-15T21:58:00,e-wallet,offline,0.0
ORD000029,C0117,2025-07-10T02:47:00,e-wallet,website,0.0
ORD000030,C0026,2025-12-18T21:34:00,cash,offline,0.0
ORD000031,C0034,2025-10-04T20:51:00,card,shopee,5000.0
ORD000032,C0005,2025-03-31T20:03:00,e-wallet,offline,5000.0
ORD000033,C0028,2025-08-21T00:14:00,cash,website,0.0
ORD000034,C0071,2025-11-17T02:37:00,e-wallet,offline,0.0
ORD000035,C0212,2025-08-21T22:26:00,e-wallet,offline,0.0
ORD000036,C0034,2025-10-12T16:37:00,cash,website,0.0
ORD000037,C0143,2025-07-08T17:48:00,cash,online,0.0
ORD000038,C0196,2025-06-08T21:22:00,transfer,shopee,0.0
ORD000039,C0136,2025-04-21T22:26:00,cash,website,0.0
ORD000040,C0170,2025-08-06T23:38:00,card,shopee,0.0
ORD000041,C0053,2025-06-04T19:49:00,cash,online,0.0
ORD000042,C0098,2025-10-01T03:14:00,cash,offline,0.0
ORD000043,C0104,2025-12-31T02:26:00,e-wallet,shopee,0.0
ORD000044,C0021,2025-07-22T20:47:00,cash,online,0.0
ORD000045,C0038,2025-05-01T17:09:00,cash,offline,0.0
ORD000046,C0115,2025-12-16T01:41:00,card,shopee,0.0
ORD000047,C0074,2025-02-10T02:55:00,transfer,offline,0.0
ORD000048,C0096,2025-05-25T22:26:00,e-wallet,offline,0.0
ORD000049,C0090,2025-06-09T02:44:00,card,shopee,0.0
ORD000050,C0080,2025-04-03T19:21:00,cash,shopee,0.0
ORD000051,C0193,2025-08-18T19:34:00,transfer,offline,0.0
ORD000052,C0073,2025-07-16T00:33:00,cash,online,0.0
ORD000053,C0196,2025-03-24T20:28:00,card,website,0.0
ORD000054,C0026,2025-11-29T21:50:00,e-wallet,shopee,0.0
ORD000055,C0158,2025-01-03T17:01:00,cash,shopee,0.0
ORD000056,C0029,2025-09-14T01:34:00,transfer,offline,0.0
ORD000057,C0062,2025-10-20T22:11:00,cash,offline,0.0
ORD000058,C0086,2025-03-10T16:22:00,e-wallet,online,0.0
ORD000059,C0052,2025-01-22T21:59:00,card,offline,10000.0
ORD000060,C0099,2025-06-23T18:31:00,e-wallet,online,0.0
ORD000061,C0079,2025-08-18T01:45:00,card,online,0.0
ORD000062,C0206,2025-12-14T18:01:00,cash,offline,0.0
ORD000063,C0099,2025-10-18T16:38:00,e-wallet,shopee,0.0
ORD000064,C0094,2025-07-23T21:41:00,cash,offline,0.0
ORD000065,C0183,2025-08-16T17:51:00,transfer,shopee,0.0
ORD000066,C0157,2025-02-14T17:19:00,cash,offline,0.0
ORD000067,C0213,2025-10-11T02:37:00,cash,shopee,0.0
ORD000068,C0182,2025-04-26T21:33:00,cash,online,0.0
ORD000069,C0165,2025-10-23T20:41:00,cash,online,0.0
ORD000070,C0078,2025-09-05T19:51:00,e-wallet,online,50000.0
ORD000071,C0095,2025-09-22T00:06:00,cash,offline,0.0
ORD000072,C0185,2025-06-10T19:48:00,e-wallet,offline,0.0
ORD000073,C0091,2025-01-25T16:18:00,cash,offline,0.0
ORD000074,C0014,2025-10-20T00:12:00,card,shopee,0.0
ORD000075,C0025,2025-07-21T21:50:00,e-wallet,online,20000.0
