product_id,product_name,category,brand,unit,unit_price,initial_quantity,reorder_level,popularity_weight,paired_product_id,source_type,source_reference,source_url,collected_at,simulated_fields
P0001,Vở kẻ ngang 80 trang,Vở và giấy,Campus,quyển,12000.0,180,35,1.0,P0011,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0002,Vở kẻ ngang 120 trang,Vở và giấy,Campus,quyển,18000.0,150,30,8.0,P0011,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0003,Vở ô ly 96 trang,Vở và giấy,Hồng Hà,quyển,14000.0,170,35,5.0,P0017,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0004,Sổ lò xo A5 200 trang,Vở và giấy,Hải Tiến,quyển,42000.0,90,20,2.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0005,Sổ tay bìa da A5,Vở và giấy,OEM,quyển,79000.0,55,15,9.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0006,Giấy in A4 70 gsm,Vở và giấy,Double A,ram,82000.0,120,25,6.0,P0043,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0007,Giấy in A4 80 gsm,Vở và giấy,PaperOne,ram,99000.0,100,20,3.0,P0043,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0008,Giấy màu A4 100 tờ,Vở và giấy,IK Plus,xấp,65000.0,60,15,10.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0009,Giấy note 3 x 3 inch,Vở và giấy,Deli,xấp,18000.0,140,30,7.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0010,Giấy photo A3 70 gsm,Vở và giấy,Double A,ram,165000.0,45,10,4.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0011,Bút bi xanh 0.5 mm,Bút viết,Thiên Long,cây,5000.0,350,70,1.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0012,Bút bi đen 0.5 mm,Bút viết,Thiên Long,cây,5000.0,300,60,8.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0013,Bút bi đỏ 0.5 mm,Bút viết,Thiên Long,cây,5000.0,240,50,5.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0014,Bút gel xanh 0.5 mm,Bút viết,Deli,cây,12000.0,180,40,2.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0015,Bút máy học sinh,Bút viết,Hồng Hà,cây,45000.0,80,20,9.0,P0016,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0016,Ống mực bút máy xanh,Bút viết,Hồng Hà,hộp,25000.0,100,25,6.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0017,Bút chì 2B,Bút viết,Staedtler,cây,9000.0,220,45,3.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0018,Bút chì kim 0.5 mm,Bút viết,Pentel,cây,38000.0,90,20,10.0,P0019,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0019,Ruột chì kim 0.5 mm,Bút viết,Pentel,hộp,22000.0,110,25,7.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0020,Bút dạ quang 5 màu,Bút viết,Stabilo,bộ,85000.0,70,15,4.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0021,Thước thẳng 20 cm,Dụng cụ học tập,Thiên Long,cây,7000.0,160,35,1.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0022,Thước ê ke 2 chiếc,Dụng cụ học tập,Deli,bộ,18000.0,90,20,8.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0023,Compa học sinh,Dụng cụ học tập,Maped,chiếc,42000.0,65,15,5.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0024,Tẩy chì trắng,Dụng cụ học tập,Staedtler,viên,8000.0,180,40,2.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0025,Gọt bút chì có hộp,Dụng cụ học tập,Deli,chiếc,15000.0,120,25,9.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0026,Hộp bút vải,Dụng cụ học tập,OEM,chiếc,65000.0,60,15,6.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0027,Bộ màu sáp 24 màu,Dụng cụ học tập,Crayola,bộ,92000.0,55,12,3.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0028,Bộ màu nước 12 màu,Dụng cụ học tập,Pentel,bộ,78000.0,50,12,10.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0029,Kéo học sinh 13 cm,Dụng cụ học tập,Deli,chiếc,25000.0,85,18,7.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0030,Hồ khô 15 g,Dụng cụ học tập,Thiên Long,thỏi,14000.0,130,28,4.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0031,Bìa lá A4 trong,Hồ sơ và lưu trữ,Plus,chiếc,4000.0,300,60,1.0,P0006,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0032,Bìa nút A4,Hồ sơ và lưu trữ,Deli,chiếc,12000.0,160,35,8.0,P0006,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0033,Bìa còng 5 cm,Hồ sơ và lưu trữ,King Jim,chiếc,69000.0,75,18,5.0,P0006,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0034,File hộp 10 cm,Hồ sơ và lưu trữ,Flexoffice,chiếc,85000.0,60,15,2.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0035,Túi hồ sơ dây buộc,Hồ sơ và lưu trữ,Hồng Hà,chiếc,16000.0,110,25,9.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0036,Khay tài liệu 3 tầng,Hồ sơ và lưu trữ,Deli,bộ,185000.0,35,8,6.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
P0037,Cặp tài liệu A4,Hồ sơ và lưu trữ,OEM,chiếc,95000.0,45,10,3.0,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6,,,
