customer_id,recency_days,frequency,monetary
C0001,38,2,1171673.0
C0002,85,5,166800364.0
C0003,6,4,126010611.0
C0004,83,3,142312860.0
C0005,164,4,7921220.0
C0006,96,4,156134557.0
C0007,9,3,15907495.0
C0008,232,4,8890176.0
C0009,247,2,82125197.0
C0010,9,11,219468275.0
C0011,112,5,141475301.0
C0012,29,8,69921240.0
C0013,41,5,125121770.0
C0014,11,5,19368099.0
C0015,51,7,80525904.0
C0016,11,8,1105570895.0
C0017,122,4,176750731.0
C0018,114,7,332624088.0
C0019,151,4,8013648.0
C0020,47,5,23648307.0
C0021,16,7,769040436.0
C0022,24,7,756318095.0
C0023,100,7,192428977.0
C0024,21,10,1072201471.0
C0025,25,3,23722919.0
C0026,14,8,48914307.0
C0027,168,2,120997600.0
C0028,38,5,566548911.0
C0029,71,5,33461643.0
C0030,32,4,61652860.0
C0031,60,8,148246284.0
C0032,8,6,90092062.0
C0033,55,3,2227054.0
C0034,81,6,47534340.0
C0035,56,3,25330526.0
C0036,5,10,84510498.0
C0037,47,5,128395712.0
C0038,1,9,399006150.0
C0039,64,6,115356376.0
C0040,5,7,1985310952.0
C0041,24,6,87482592.0
C0042,65,4,145670442.0
C0043,3,7,87087773.0
C0044,1,6,105144939.0
C0045,102,2,1613610.0
C0046,9,6,40349485.0
C0047,16,4,140160523.0
C0048,37,8,220752873.0
C0049,24,8,368533521.0
C0050,189,6,17757496.0
C0051,113,2,1452877.0
C0052,54,9,278476247.0
C0053,16,7,448211420.0
C0054,12,3,8466902.0
C0055,51,5,16212430.0
C0056,187,1,58557460.0
C0057,174,2,18494090.0
C0058,63,3,33334536.0
C0059,141,7,55076543.0
C0060,26,8,39007926.0
C0061,158,6,666806164.0
C0062,59,7,32233920.0
C0063,65,5,123928579.0
C0064,80,5,30430406.0
C0065,37,6,1854534702.0
C0066,134,5,153454955.99999997
C0067,36,4,24436488.0
C0068,16,3,152636632.0
C0069,28,5,54973819.0
C0070,13,5,79997522.0
C0071,45,4,16216048.0
C0072,35,3,29248309.0
C0073,76,5,44135827.0
C0074,3,8,361761057.0
C0075,71,3,99644551.00000001
C0076,1,6,217628921.0
C0078,112,6,380790977.0
C0079,107,5,256822638.0
C0080,82,6,35370856.0
C0081,71,4,146732052.0
C0082,35,4,159898606.0
C0083,135,3,6263214.0
C0084,3,7,133998165.0
C0085,65,2,33645480.0
C0086,13,7,73017597.0
C0087,64,5,234633854.0
C0088,86,2,781814.0
C0089,118,5,122136321.0
C0090,6,7,2058010839.0
C0091,18,6,435363551.0
C0092,86,1,3135000.0
C0093,101,6,177086987.0
C0094,39,8,108933369.0
C0095,77,5,144807508.0
C0096,17,8,186539464.0
C0097,29,8,353794685.0
C0098,65,8,47094463.0
C0099,75,5,115088564.0
C0100,35,4,38040269.0
C0101,45,4,104793582.0
C0102,39,6,65585154.0
C0103,16,7,151921716.0
C0104,1,6,360149001.0
C0105,19,7,167113208.0
C0106,166,6,76369924.0
C0107,20,6,8469987.0
C0108,56,3,100416568.0
C0109,10,5,19796375.0
C0110,134,3,52133896.0
C0111,187,5,42095923.0
C0112,239,3,360546950.0
C0113,18,6,105296809.0
C0114,30,2,45120258.0
C0115,16,6,39961051.0
C0116,38,7,26155005.0
C0117,17,13,515320198.0
C0118,154,3,10004584.0
C0119,56,5,63677843.0
C0120,2,3,3041760.0
C0121,20,7,204691651.0
C0122,27,5,46617267.0
C0123,129,5,45425011.0
C0124,47,5,15009890.0
C0125,302,3,155318000.0
C0126,10,7,226291329.00000003
C0127,132,5,21757550.0
C0128,68,4,29104347.0
C0129,4,8,75286313.0
C0130,27,4,16946720.0
C0131,37,5,201004244.0
C0132,2,4,60351086.0
C0133,16,7,2355447263.0
C0134,149,2,413125250.0
C0135,36,6,196475987.0
C0136,10,8,33168289.0
C0137,95,4,48248551.0
C0138,182,3,221626149.0
C0139,8,9,181074737.0
C0140,110,10,167721625.0
C0141,139,8,35429918.0
C0142,132,4,5937281.0
C0143,98,7,160673858.0
C0144,9,4,18346005.0
C0145,53,9,284283485.0
C0146,7,8,489854056.0
C0147,16,5,64576107.0
C0148,44,8,464160081.0
C0149,120,3,6767591.0
C0150,34,4,7418052.0
C0151,170,3,13912010.0
C0152,117,4,13534965.0
C0153,39,7,1635596431.0
C0154,18,6,12694276.0
C0155,10,8,1427696319.0
C0156,21,5,8996517.0
C0157,53,5,613418320.0
C0158,22,8,218963334.0
C0159,57,7,114783573.0
C0160,102,1,78000.0
C0161,18,7,13002643.0
C0162,9,5,32428308.0
C0163,50,5,334751629.0
C0164,74,8,216881435.0
C0165,25,6,46720436.0
C0166,22,8,917819635.0
C0167,21,5,56453135.0
C0168,4,5,140147460.0
C0169,268,3,148783380.0
C0170,71,9,68477672.0
C0171,2,8,269966860.0
C0172,25,7,127337280.0
C0173,179,3,436000.0
C0174,39,7,149486325.0
C0175,13,5,70864994.0
C0176,88,5,142493939.0
C0177,196,4,387844534.0
C0178,6,6,251357557.0
C0179,4,13,488776108.0
C0180,38,7,59811582.0
C0181,97,4,19508358.0
C0182,36,8,51343729.0
C0183,138,5,97413911.0
C0184,53,4,79006229.0
C0185,40,5,1232743364.0
C0186,63,7,180634500.0
C0187,28,4,85526563.0
C0188,146,4,48634357.0
C0189,8,7,132084937.0
C0190,5,7,215011169.0
C0191,153,3,23681960.0
C0192,33,7,189127681.0
C0193,31,6,81695369.0
C0194,40,10,105281018.0
C0195,19,3,1599000.0
C0196,99,8,270944086.0
C0197,50,7,17397812.0
C0198,61,3,56940427.0
C0199,17,6,396063899.0
C0200,2,11,285344685.0
C0201,3,4,23592158.0
C0202,14,8,167170928.0
C0203,23,6,207157174.0
C0204,114,5,97423545.0
C0205,51,4,211331784.0
C0206,18,3,23691772.0
C0207,70,7,271465955.0
C0208,2,4,7117645.0
C0209,62,5,50554300.0
C0210,115,2,21174959.0
C0211,12,4,135218118.0
C0212,20,5,1737549.0
C0213,82,7,54023584.0
C0214,18,9,17611172.0
C0215,74,2,2861590.0
C0216,35,3,45082989.0
C0217,16,6,323572498.0
C0218,32,5,7200436.0
C0219,108,3,34995218.0
C0220,56,5,26114870.0
