customer_id,last_order,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_score,city,customer_type,join_date,cluster,segment
C0001,2025-11-24 19:44:00,2,1171673.0,37,3,1,1,5,TP. Hồ Chí Minh,retail,2024-10-20,3,At Risk
C0002,2025-10-08 21:12:00,5,166800364.0,84,2,2,4,8,Hải Phòng,retail,2024-04-16,2,Loyal
C0003,2025-12-26 18:05:00,4,126010611.0,5,5,1,3,9,TP. Hồ Chí Minh,wholesale,2024-12-09,2,Loyal
C0004,2025-10-10 22:05:00,3,142312860.0,82,2,1,4,7,TP. Hồ Chí Minh,wholesale,2024-09-02,2,Loyal
C0005,2025-07-20 23:09:00,4,7921220.0,164,1,2,1,4,Hà Nội,retail,2023-12-14,0,Potential
C0006,2025-09-27 17:32:00,4,156134557.0,95,2,2,4,8,Hà Nội,wholesale,2024-03-26,2,Loyal
C0007,2025-12-23 22:23:00,3,15907495.0,8,5,1,1,7,Nha Trang,retail,2024-11-28,2,Loyal
C0008,2025-05-13 23:19:00,4,8890176.0,232,1,2,1,4,Cần Thơ,student,2024-09-24,0,Potential
C0009,2025-04-29 20:45:00,2,82125197.0,246,1,1,3,5,Đà Nẵng,wholesale,2023-12-01,0,Potential
C0010,2025-12-23 02:17:00,11,219468275.0,8,5,5,4,14,Cần Thơ,retail,2024-05-20,1,Champions
C0011,2025-09-11 02:44:00,5,141475301.0,111,1,2,4,7,Huế,retail,2024-12-22,0,Potential
C0012,2025-12-03 01:28:00,8,69921240.0,28,4,5,3,12,TP. Hồ Chí Minh,retail,2024-06-09,1,Champions
C0013,2025-11-21 18:46:00,5,125121770.0,40,3,2,3,8,Cần Thơ,student,2024-05-22,2,Loyal
C0014,2025-12-21 00:57:00,5,19368099.0,10,5,2,1,8,Biên Hòa,retail,2024-12-05,2,Loyal
C0015,2025-11-11 02:17:00,7,80525904.0,50,3,4,3,10,TP. Hồ Chí Minh,wholesale,2024-06-08,1,Champions
C0016,2025-12-21 00:20:00,8,1105570895.0,10,5,5,5,15,Huế,wholesale,2024-10-14,1,Champions
C0017,2025-09-01 00:03:00,4,176750731.0,121,1,2,4,7,TP. Hồ Chí Minh,retail,2024-11-22,0,Potential
C0018,2025-09-09 19:39:00,7,332624088.0,113,1,4,5,10,Cần Thơ,office,2024-03-23,1,Champions
C0019,2025-08-03 01:47:00,4,8013648.0,150,1,2,1,4,TP. Hồ Chí Minh,retail,2024-03-26,0,Potential
C0020,2025-11-15 18:29:00,5,23648307.0,46,3,2,2,7,Huế,retail,2024-07-17,2,Loyal
C0021,2025-12-16 22:12:00,7,769040436.0,15,4,4,5,13,Hải Phòng,wholesale,2024-05-27,1,Champions
C0022,2025-12-08 21:55:00,7,756318095.0,23,4,4,5,13,TP. Hồ Chí Minh,wholesale,2024-11-21,1,Champions
C0023,2025-09-23 18:39:00,7,192428977.0,99,2,4,4,10,Hải Phòng,retail,2024-02-23,1,Champions
C0024,2025-12-11 03:08:00,10,1072201471.0,20,4,5,5,14,Cần Thơ,office,2024-06-09,1,Champions
C0025,2025-12-07 18:46:00,3,23722919.0,24,4,1,2,7,Hải Phòng,wholesale,2024-10-20,2,Loyal
C0026,2025-12-18 21:34:00,8,48914307.0,13,5,5,2,12,Hà Nội,retail,2024-12-25,1,Champions
C0027,2025-07-17 18:10:00,2,120997600.0,167,1,1,3,5,Huế,retail,2023-12-14,0,Potential
C0028,2025-11-24 01:22:00,5,566548911.0,37,3,2,5,10,Hải Phòng,office,2023-12-31,1,Champions
C0029,2025-10-22 16:41:00,5,33461643.0,70,2,2,2,6,Huế,retail,2024-09-13,2,Loyal
C0030,2025-11-29 23:47:00,4,61652860.0,32,3,2,3,8,Nha Trang,student,2024-08-09,2,Loyal
C0031,2025-11-02 22:46:00,8,148246284.0,59,2,5,4,11,Biên Hòa,retail,2024-10-22,1,Champions
C0032,2025-12-24 01:33:00,6,90092062.0,7,5,3,3,11,Hải Phòng,student,2024-02-07,2,Loyal
C0033,2025-11-07 03:30:00,3,2227054.0,54,3,1,1,5,Cần Thơ,student,2024-08-29,3,At Risk
C0034,2025-10-12 16:37:00,6,47534340.0,80,2,3,2,7,Nha Trang,retail,2024-07-04,2,Loyal
C0035,2025-11-06 04:40:00,3,25330526.0,55,3,1,2,6,Biên Hòa,retail,2024-02-06,2,Loyal
C0036,2025-12-27 22:11:00,10,84510498.0,4,5,5,3,13,TP. Hồ Chí Minh,retail,2023-12-22,1,Champions
C0037,2025-11-15 19:33:00,5,128395712.0,46,3,2,3,8,Nha Trang,wholesale,2024-02-17,2,Loyal
