year_month,Bút viết,Dụng cụ học tập,Hồ sơ và lưu trữ,Phụ kiện máy tính,Sách,Thiết bị văn phòng,Vở và giấy
2025-01,3619120.2384224613,2754845.9633465116,10886806.697051657,286894020.26703566,383523356.2286509,905252371.3849137,9791846.220579032
2025-02,5981272.603756837,5844098.330311578,11939555.701815348,114975505.94449267,299251484.411909,2082989294.5529997,13601459.454714913
2025-03,7086279.5699563995,2862488.1185031184,6921788.554386189,389163602.73786074,364842753.8117682,3547702001.1073346,9280180.10019085
2025-04,5264831.365654279,7394010.501830906,5559720.297495019,175927503.4936823,425675491.2129882,6130893422.372211,11123913.75613833
2025-05,6437593.905252739,8924342.193105124,5779054.843063672,268271769.81557176,598699722.7371908,2724105080.3326225,12245169.173193075
2025-06,2222697.222741448,3960081.2180380346,5289886.733512539,238547329.45365644,368300656.8997655,2902624600.6458344,7032991.826451747
2025-07,7090953.902347366,5952947.254592906,9535556.49342284,456406124.38204044,513998024.6521743,2112911383.1681483,18775964.147273857
2025-08,3597561.1117512495,3032548.3789939075,6491880.020990635,204408920.49071437,289829022.88998103,2850764499.975413,9437567.132156117
2025-09,7223703.925134177,11289130.303925475,13597798.659369333,677448448.9601188,221332094.94582844,2190708716.185434,12058230.020189982
2025-10,5386631.171569623,11130450.510894254,7294323.180510187,202444891.1102955,575967457.5827495,2532924188.443981,10760321.0
2025-11,4968477.607295104,9363641.740348509,9026484.77892714,280064899.95760363,402463689.9910855,1809211848.0368729,17627032.887867175
2025-12,4922727.115450271,6194724.18689329,12984436.466287497,385871892.3743267,513616872.80355287,4080107952.9067698,11992860.146719905
