year_month,offline,online,shopee,website
2025-01,648509263.0,240453930.0,632359633.0,81399541.0
2025-02,609837994.0,1386541721.0,405803648.0,132399308.0
2025-03,1237835531.0,816423629.0,416354089.0,1857245845.0
2025-04,3339153371.0,405116856.0,2085984342.0,931584324.0
2025-05,1425521913.0,278023207.0,1532376477.0,388541136.0
2025-06,1392474230.0,1094617015.0,905214048.0,135672951.0
2025-07,2098604560.0,535672079.0,110220432.0,380173883.0
2025-08,1606356507.0,469865904.0,429235972.0,862103617.0
2025-09,1075728959.0,1424235746.0,528631097.0,105062321.0
2025-10,1741745066.0,308259919.0,487211153.0,808692125.0
2025-11,790146792.0,892258945.0,352842300.0,497478038.0
2025-12,2140115354.0,1978434347.0,195060771.0,702080994.0
