year_month,orders,quantity,gross_revenue,net_revenue
2025-01,88,1211,1603057367.0,1602722367.0
2025-02,92,1561,2535082671.0,2534582671.0
2025-03,86,1467,4327979094.0,4327859094.0
2025-04,103,1731,6762348893.0,6761838893.0
2025-05,103,2095,3624867733.0,3624462733.0
2025-06,95,1330,3528278244.0,3527978244.0
2025-07,110,1876,3125135954.0,3124670954.0
2025-08,96,1211,3368017000.0,3367562000.0
2025-09,112,1668,3134178123.0,3133658123.0
2025-10,110,1812,3346218263.0,3345908263.0
2025-11,93,1771,2533101075.0,2532726075.0
2025-12,112,2034,5016231466.0,5015691466.0
