product_id,product_name,category,quantity,net_revenue
P0061,Apple MacBook Pro 14 Inch Space Grey,Thiết bị văn phòng,132,6538216861.601688
P0062,Asus Zenbook Pro Dual Screen Laptop,Thiết bị văn phòng,132,5783582741.875061
P0063,Huawei Matebook X Pro,Thiết bị văn phòng,156,5329627028.911262
P0065,New DELL XPS 13 9300 Laptop,Thiết bị văn phòng,134,4927561264.939185
P0064,Lenovo Yoga 920,Thiết bị văn phòng,160,4371079833.67701
P0067,Samsung Galaxy Tab S8 Plus Grey,Thiết bị văn phòng,148,2171769718.4055114
P0066,iPad Mini 2021 Starlight,Thiết bị văn phòng,118,1456026131.552743
P0068,Samsung Galaxy Tab White,Thiết bị văn phòng,145,1241091708.1957133
P0071,Apple AirPods Max Silver,Phụ kiện máy tính,88,1201007280.227356
P0043,Máy in laser đơn sắc,Thiết bị văn phòng,370,1163884029.8749382
P0089,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sách,636,1080924770.0874925
P0079,Sharp Objects,Sách,512,799884062.0171676
P0073,Apple HomePod Mini Cosmic Grey,Phụ kiện máy tính,240,592383733.6301491
P0076,A Light in the Attic,Sách,353,586926020.4905337
P0045,Máy hủy tài liệu,Thiết bị văn phòng,302,554680024.1183352
P0078,Soumission,Sách,316,513763347.49363583
P0070,Apple Airpods,Phụ kiện máy tính,135,432601096.9622684
P0077,Tipping the Velvet,Sách,201,349209346.6661782
P0069,Amazon Echo Plus,Phụ kiện máy tính,140,344605245.4266378
P0084,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Sách,401,292755796.2582479
