product_id,product_name,category,brand,unit,unit_price,initial_quantity,reorder_level,popularity_weight,paired_product_id,source_type,source_reference,source_url,collected_at,raw_category,raw_price_usd,fx_usd_vnd,simulated_fields,raw_price_gbp,fx_gbp_vnd
P0061,Apple MacBook Pro 14 Inch Space Grey,Thiết bị văn phòng,Apple,chiếc,49999750,24,5,4,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/78,2026-07-23T21:05:36,laptops,1999.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0062,Asus Zenbook Pro Dual Screen Laptop,Thiết bị văn phòng,Asus,chiếc,44999750,45,9,4,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/79,2026-07-23T21:05:36,laptops,1799.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0063,Huawei Matebook X Pro,Thiết bị văn phòng,Huawei,chiếc,34999750,75,15,5,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/80,2026-07-23T21:05:36,laptops,1399.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0064,Lenovo Yoga 920,Thiết bị văn phòng,Lenovo,chiếc,27499750,40,8,3,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/81,2026-07-23T21:05:36,laptops,1099.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0065,New DELL XPS 13 9300 Laptop,Thiết bị văn phòng,Dell,chiếc,37499750,74,14,3,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/82,2026-07-23T21:05:36,laptops,1499.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0066,iPad Mini 2021 Starlight,Thiết bị văn phòng,Apple,chiếc,12499750,47,9,3,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/159,2026-07-23T21:05:36,tablets,499.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0067,Samsung Galaxy Tab S8 Plus Grey,Thiết bị văn phòng,Samsung,chiếc,14999750,62,12,5,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/160,2026-07-23T21:05:36,tablets,599.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0068,Samsung Galaxy Tab White,Thiết bị văn phòng,Samsung,chiếc,8749750,92,18,4,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/161,2026-07-23T21:05:36,tablets,349.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0069,Amazon Echo Plus,Phụ kiện máy tính,Amazon,cái,2499750,61,12,5,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/99,2026-07-23T21:05:36,mobile-accessories,99.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0070,Apple Airpods,Phụ kiện máy tính,Apple,cái,3249750,67,13,4,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/100,2026-07-23T21:05:36,mobile-accessories,129.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0071,Apple AirPods Max Silver,Phụ kiện máy tính,Apple,cái,13749750,59,11,3,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/101,2026-07-23T21:05:36,mobile-accessories,549.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0072,Apple Airpower Wireless Charger,Phụ kiện máy tính,Apple,cái,1999750,1,5,4,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/102,2026-07-23T21:05:36,mobile-accessories,79.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0073,Apple HomePod Mini Cosmic Grey,Phụ kiện máy tính,Apple,cái,2499750,27,5,5,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/103,2026-07-23T21:05:36,mobile-accessories,99.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0074,Apple iPhone Charger,Phụ kiện máy tính,Apple,cái,499750,31,6,4,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/104,2026-07-23T21:05:36,mobile-accessories,19.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0075,Apple MagSafe Battery Pack,Phụ kiện máy tính,Apple,cái,2499750,1,5,4,,public_api,https://dummyjson.com/products,https://dummyjson.com/products/105,2026-07-23T21:05:36,mobile-accessories,99.99,25000,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,unit_price(fx)",,
P0076,A Light in the Attic,Sách,Unknown,quyển,1708410,66,16,7,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",51.77,33000
